"Genes","E13.5_Skin_Mes_Ventral_121","E13.5_Skin_Mes_Ventral_122","E13.5_Skin_Mes_Ventral_123","E13.5_Skin_Mes_Ventral_126","E13.5_Skin_Mes_Ventral_128","E13.5_Mammary_Mes_111","E13.5_Mammary_Mes_113","E13.5_Mammary_Mes_114","E13.5_Mammary_Mes_115","E13.5_Mammary_Mes_117","E16.5_Mammary_Mes_41","E16.5_Mammary_Mes_42","E16.5_Mammary_Mes_43","E16.5_Mammary_Mes_46","E16.5_Mammary_Mes_62","E16.5_Fatpad_52","E16.5_Fatpad_53","E16.5_Fatpad_56","E16.5_Fatpad_57","E16.5_Fatpad_58","E13.5_SMG_Mes_1","E13.5_SMG_Mes_2","E13.5_SMG_Mes_3","E13.5_SMG_Mes_5","E13.5_SMG_Mes_6","Markers_of_tissue"
"Inpp4b",4620.54153389656,4342.61728628259,3654.58322098582,5375.7476879706,5225.31989017462,2073.59021272077,1952.96602756434,1403.96050121582,1742.55026287276,1994.57191410507,2372.12750833633,2480.43215541101,1973.21423085763,1874.62733422996,2221.06252791941,1583.74120562441,1630.09410606269,1843.33694654929,1409.85072438339,1624.96549889381,1116.65607724584,715.393567096331,1113.12470268298,235.176381928518,586.266963217243,"E13.5_Skin_Mes_Ventral"
"Slc24a2",1267.78439539531,1096.28573854618,1093.40823889764,1189.62709868629,1078.35977396633,400.215883184062,355.368131088819,280.773771927536,354.321860848622,416.679104623307,35.0209845492435,57.8482978561761,98.5141224362112,87.9589122837122,51.8520248259739,56.1389139520979,18.0944443911219,62.318570764104,28.1319925408601,54.0985541665092,26.2609968017853,5.4628729033956,8.08844669912738,10.3036361068213,15.4183626702107,"E13.5_Skin_Mes_Ventral"
"Hoxa9",1827.82733135578,1711.55621647859,1690.2208353206,1465.33547815335,1279.71325432306,425.196342298896,402.941380236227,607.602837883486,417.868322665031,416.477518810496,116.913764209156,101.940415618745,149.418299002314,199.303438418482,135.324747190693,629.764021164078,510.312376284608,550.197788359538,466.027818476737,670.177095045508,0.754284831033451,2.96476803264299,3.5797007008514,0,5.73997532892408,"E13.5_Skin_Mes_Ventral"
"Necab1",1172.15195153311,1016.73960567899,1226.05633323485,1120.739408129,1287.89143528906,320.396466796438,424.712169842123,439.712112506064,511.705883032933,592.657230208095,139.345234957652,120.624644865509,83.8614141875357,180.023046854653,159.168356886443,133.097958865264,127.625971624376,91.9859144461818,130.884699089929,111.95603507951,52.8972799672624,73.9729166800435,105.01115838668,72.2777298556793,74.1366264214191,"E13.5_Skin_Mes_Ventral"
"Slc19a2",659.412484125326,1148.97562720964,1020.71408179248,1227.33655284547,1308.52348135379,342.355110690521,421.421347303139,320.826313412499,387.80051360806,492.35939220245,401.431590940365,504.395924851088,388.471918270195,309.306716560202,357.292480248739,500.560452423949,341.025834310384,492.481791116501,501.814880164547,474.797989589239,567.925794853853,478.456044668848,442.962609802964,391.480928897876,513.157058271397,"E13.5_Skin_Mes_Ventral"
"Ptchd4",401.334959352137,443.865022666207,373.413880633599,642.480742107873,452.643764288411,162.615186202739,211.721789756652,124.732779679846,166.844015697449,135.309126039498,192.861334829388,173.190355395903,155.856385380872,165.263462629106,223.676629779716,43.6630647936382,52.273812083121,60.9795040684272,53.7458317249775,61.9266861433979,10.9706617500338,15.884191131343,26.0592163546,26.4099003356227,18.1474825669947,"E13.5_Skin_Mes_Ventral"
"Shroom2",2828.39174551541,2856.10472620148,2761.47671131506,3513.2342414067,3300.34155636355,1285.78897075027,1515.46793483036,1339.1090284974,1315.03307118467,1262.14310082256,1072.97875655698,973.735692678046,1048.07171212386,914.597642321413,1192.6614126313,759.98100794199,973.548680490417,865.51033813756,768.70110371549,859.388353097411,985.32036963657,753.753748118665,1151.61389964453,869.229357758985,933.623617358738,"E13.5_Skin_Mes_Ventral"
"Spsb4",337.594792922504,235.108793884929,292.203889524817,286.235978261987,292.720120606106,123.401209337965,107.573836783406,129.039515741451,146.855456551375,120.353278895871,80.5542760453126,87.859548942676,78.8357292318814,109.481155930784,111.454259124987,171.769812400414,179.778033218731,143.675313547089,111.044078504032,87.2549148260055,119.893344430817,80.9964586306488,83.9119867648479,141.494965206025,87.0142413549654,"E13.5_Skin_Mes_Ventral"
"Lix1",11156.4856528023,10959.5589479106,11918.5994149983,11679.4600588382,12771.5117081253,4105.00624206274,4972.16202900761,4632.41208261885,6350.36633994411,6783.93722015195,354.706125073258,280.26017453693,756.776375723888,961.85889678674,260.803854880232,307.92959321515,280.450135811374,316.76224231056,349.637876489978,246.275327707322,1011.77206082866,992.881530186958,857.575440994436,820.153636081253,1015.90485507128,"E13.5_Skin_Mes_Ventral"
"Bex4",919.179273015273,1089.05839789629,984.102965727452,819.077641834651,990.371478274223,232.805239265325,447.117031599162,456.047949202299,559.40570390692,487.671985027024,59.1926203755504,75.7095755971658,77.5326043826019,48.7580742528104,75.6875742361575,139.462028887837,100.125948166139,116.608204424329,157.651056242711,95.0946522125066,337.552578161899,315.696403605239,231.154956411506,201.713381924323,226.147832321911,"E13.5_Skin_Mes_Ventral"
